taux_de_reussite_g;nombre_eleves_segpa;nombre_eleves_ulis;garcons;filles
91.0;31;17;185;193
91.0;64;12;299;264
96.0;60;24;288;238
94.0;55;14;397;374
82.0;45;12;323;352
79.0;96;13;380;360
96.0;56;15;309;208
93.0;52;13;267;272
88.0;62;11;225;231
92.0;51;8;429;410
86.0;54;11;244;213
94.0;38;16;251;267
82.0;54;14;231;170
90.0;60;13;191;178
86.0;74;26;455;458
94.0;51;13;321;274
93.0;41;12;184;172
85.0;14;13;400;375
97.0;55;25;466;385
85.0;59;12;310;296
89.0;36;19;353;363
86.0;45;27;221;211
87.0;74;12;395;371
79.0;29;10;295;266
97.0;50;10;661;652
91.0;45;9;361;293
92.0;124;13;418;411
91.0;49;13;227;238
90.0;67;11;246;251
93.0;50;9;433;341
80.0;55;11;206;218
78.0;48;14;315;283
92.0;55;21;428;381
93.0;76;13;223;198
98.0;46;13;174;154
92.0;57;23;418;390
87.0;62;13;394;347
81.0;91;16;344;324
85.0;65;12;561;440
98.0;69;10;225;201
96.0;65;14;441;434
90.0;56;16;440;451
84.0;56;14;394;312
89.0;58;10;315;293
77.0;68;12;330;330
92.0;90;10;285;273
75.0;58;12;237;222
86.0;62;12;334;308
88.0;40;18;393;380
95.0;59;13;326;340
68.0;62;12;182;153
96.0;79;10;537;456
98.0;60;12;445;411
62.0;88;11;348;305
79.0;50;11;250;230
87.0;58;9;367;307
94.0;52;8;453;393
91.0;58;14;532;481
94.0;75;21;280;241
92.0;52;14;309;286
97.0;11;22;287;267
98.0;78;13;460;346
89.0;38;8;201;263
92.0;56;14;239;270
81.0;57;9;345;305
86.0;56;10;215;191
88.0;62;12;333;302
90.0;51;10;396;356
77.0;91;12;909;945
94.0;55;11;354;350
81.0;54;9;322;291
80.0;49;12;183;158
76.0;62;9;199;212
91.0;34;16;469;454
89.0;73;24;378;345
82.0;58;12;397;363
82.0;61;12;329;309
85.0;112;13;438;421
99.0;57;8;371;372
65.0;62;14;336;310
80.0;64;12;346;353
84.0;63;15;374;361
74.0;72;16;312;284
63.0;40;12;388;324
87.0;53;14;305;262
92.0;52;19;253;281
89.0;75;24;356;326
90.0;56;13;286;285
84.0;35;11;212;194
96.0;35;9;230;212
87.0;59;12;388;362
83.0;55;11;392;300
81.0;106;12;489;368
84.0;61;14;271;280
91.0;29;2;84;84
78.0;62;12;378;340
84.0;118;12;410;405
76.0;58;12;243;185
91.0;59;13;402;340
67.0;72;13;314;318
90.0;63;22;214;213
93.0;80;21;590;514
82.0;35;26;233;262
90.0;51;12;317;315
82.0;128;12;445;402
88.0;128;11;245;233
78.0;63;14;413;382
97.0;48;11;182;183
77.0;93;7;273;225
81.0;62;11;398;360
88.0;52;27;217;265
80.0;73;14;403;420
68.0;54;12;222;214
87.0;56;12;383;414
83.0;58;12;329;312
93.0;77;27;241;244
75.0;130;16;487;436
86.0;59;13;327;303
76.0;58;12;307;286
75.0;39;13;181;170
79.0;76;12;318;240
94.0;48;12;238;218
89.0;46;9;228;213
89.0;60;7;249;198
78.0;73;8;207;184
92.0;57;10;456;401
97.0;58;8;289;292
84.0;48;13;314;291
86.0;41;13;353;312
81.0;62;10;295;261
82.0;62;13;220;220
93.0;75;21;280;241
93.0;54;14;186;181
100.0;38;10;669;612
94.0;63;12;386;411
88.0;71;12;375;356
86.0;69;13;270;239
87.0;58;19;379;340
84.0;61;10;247;209
64.0;49;7;265;259
96.0;11;11;354;330
95.0;52;13;302;299
98.0;62;11;333;356
88.0;54;13;289;258
82.0;44;12;288;317
70.0;52;10;289;269
79.0;62;7;283;261
87.0;56;14;231;222
83.0;27;13;356;302
87.0;76;13;335;376
87.0;63;14;277;249
67.0;28;11;280;232
90.0;47;25;347;295
93.0;56;13;244;245
78.0;51;9;270;225
76.0;126;12;581;476
89.0;54;10;217;202
78.0;62;9;199;212
81.0;49;12;200;182
82.0;63;15;374;361
91.0;81;17;194;186
89.0;32;12;286;283
91.0;65;11;491;450
86.0;123;16;409;367
80.0;63;14;392;378
92.0;53;8;429;326
92.0;58;14;243;285
92.0;46;12;176;139
82.0;61;12;387;401
96.0;46;16;241;223
91.0;18;9;87;96
91.0;57;11;353;315
94.0;57;14;367;323
82.0;112;15;461;368
89.0;24;8;242;230
84.0;87;13;357;343
74.0;62;15;425;367
92.0;26;13;269;269
82.0;61;11;431;397
86.0;64;14;309;315
92.0;49;12;213;221
92.0;61;28;222;262
70.0;74;25;395;385
82.0;58;16;167;135
88.0;55;20;369;345
67.0;55;12;335;316
86.0;53;12;251;254
93.0;61;14;182;173
93.0;61;25;386;398
80.0;64;12;266;239
89.0;54;16;204;204
88.0;53;13;360;327
89.0;46;11;320;295
73.0;42;14;239;219
81.0;65;15;335;307
79.0;31;27;222;262
99.0;56;23;223;172
81.0;64;12;205;221
91.0;60;10;411;347
91.0;65;11;429;378
80.0;100;15;385;338
82.0;64;12;392;379
94.0;52;12;274;274
89.0;69;12;411;406
79.0;54;20;328;301
87.0;30;12;241;239
82.0;62;13;303;300
74.0;71;12;326;289
63.0;64;13;259;241
90.0;89;14;535;459
91.0;40;14;284;275
84.0;57;17;230;202
88.0;62;17;375;325
98.0;72;11;344;334
93.0;57;13;173;170
74.0;45;12;235;213
86.0;48;26;274;220
84.0;57;14;262;277
91.0;50;13;356;313
93.0;63;9;373;362
69.0;64;12;283;269
79.0;63;13;353;318
74.0;44;14;148;146
83.0;50;12;355;360
82.0;35;12;202;204
81.0;74;11;341;394
87.0;55;13;356;342
81.0;178;14;530;539
74.0;62;20;398;323
83.0;93;11;397;330
82.0;62;34;324;333
86.0;34;13;297;270
91.0;48;13;345;323
85.0;40;12;161;139
83.0;67;15;333;262
84.0;60;2;254;248
91.0;56;13;338;300
93.0;64;24;399;360
75.0;106;21;248;301
87.0;50;13;214;185
89.0;63;13;408;388
87.0;65;9;352;412
73.0;49;12;157;150
86.0;58;13;350;349
91.0;47;14;199;204
91.0;63;24;480;489
82.0;41;13;276;211
83.0;107;12;320;299
70.0;51;21;426;385
95.0;53;16;286;276
95.0;51;12;204;181
97.0;54;24;378;298
74.0;68;26;313;292
96.0;61;11;359;317
90.0;57;13;366;303
82.0;47;21;435;414
80.0;44;10;341;330
88.0;60;15;252;251
69.0;47;15;267;250
73.0;124;12;515;360
93.0;62;12;293;281
91.0;64;24;307;306
83.0;80;13;312;363
91.0;65;13;344;291
68.0;24;7;276;226
75.0;54;11;250;224
73.0;48;13;145;145
91.0;93;14;356;338
99.0;16;11;271;312
85.0;29;9;190;183
93.0;64;11;359;377
87.0;62;9;276;253
82.0;50;1;217;211
90.0;36;17;309;289
71.0;59;15;316;286
88.0;48;17;164;141
92.0;128;12;533;441
91.0;55;11;304;238
84.0;63;14;410;390
77.0;118;29;552;523
92.0;62;12;255;252
87.0;43;5;259;250
81.0;50;12;250;251
85.0;60;12;295;270
69.0;85;12;392;354
93.0;58;14;482;474
78.0;48;12;208;178
75.0;105;22;246;292
71.0;48;11;230;199
93.0;80;15;410;359
94.0;54;11;376;322
74.0;32;13;226;198
91.0;62;12;244;230
87.0;24;13;279;266
85.0;43;12;145;145
76.0;40;11;192;201
86.0;50;14;378;355
92.0;40;29;270;202
99.0;105;12;445;341
84.0;64;15;378;348
89.0;65;18;251;204
92.0;60;12;354;331
86.0;66;26;330;285
82.0;44;13;296;319
71.0;58;15;279;268
78.0;60;14;242;197
85.0;30;10;199;183
91.0;64;8;353;295
92.0;115;11;437;408
84.0;52;12;348;354
88.0;63;11;233;245
84.0;117;12;404;390
94.0;20;11;184;174
97.0;58;13;213;211
74.0;51;12;268;244
84.0;48;13;331;289
94.0;54;14;186;181
88.0;69;14;318;340
97.0;100;13;214;191
82.0;40;10;217;200
94.0;60;13;331;338
91.0;51;12;232;246
88.0;74;13;323;296
90.0;47;16;383;296
77.0;52;14;304;255
82.0;109;27;563;514
84.0;45;13;159;131
84.0;54;13;390;397
69.0;60;26;337;305
75.0;107;12;290;310
95.0;57;12;497;540
75.0;57;14;370;345
91.0;54;12;342;300
72.0;63;11;350;291
73.0;65;29;240;271
91.0;117;10;373;334
87.0;25;11;163;125
95.0;68;11;288;302
87.0;40;12;298;302
92.0;62;10;307;277
98.0;46;13;262;234
80.0;36;11;308;308
88.0;66;12;286;304
77.0;98;20;263;289
84.0;70;11;297;290
86.0;56;24;247;202
97.0;57;14;237;211
92.0;65;28;389;296
84.0;94;14;359;322
74.0;54;22;303;253
88.0;93;13;361;384
84.0;53;10;322;307
86.0;54;12;255;274
88.0;64;12;352;375
91.0;62;13;476;460
78.0;61;10;351;357
84.0;56;12;229;237
91.0;80;11;374;314
85.0;62;13;342;340
87.0;45;12;237;216
97.0;49;12;354;303
85.0;59;10;250;248
75.0;38;13;289;244
89.0;55;3;275;251
85.0;60;12;209;214
96.0;80;21;590;514
86.0;56;12;352;330
91.0;45;25;317;339
82.0;13;13;381;361
90.0;86;12;359;326
97.0;47;19;401;348
84.0;59;15;366;364
90.0;115;12;312;303
95.0;58;13;402;335
94.0;60;13;363;359
84.0;47;13;249;271
84.0;62;12;331;329
83.0;64;13;334;297
95.0;59;23;279;287
88.0;96;14;372;380
90.0;44;11;273;258
84.0;83;16;329;323
88.0;54;10;280;249
70.0;63;11;350;291
87.0;45;11;239;201
86.0;69;16;371;332
95.0;57;12;266;245
89.0;55;18;239;199
94.0;47;16;265;255
82.0;65;13;480;455
83.0;64;5;216;184
94.0;63;14;422;531
94.0;102;13;291;276
80.0;63;12;361;264
87.0;52;12;359;292
99.0;59;13;364;343
81.0;64;11;403;340
87.0;70;12;268;264
92.0;62;11;398;360
81.0;28;7;280;267
88.0;41;13;263;232
87.0;63;7;306;302
97.0;33;11;266;250
90.0;62;13;384;355
88.0;61;13;350;320
63.0;62;5;287;281
92.0;59;15;440;420
92.0;55;19;254;231
99.0;54;13;374;321
84.0;57;14;339;329
85.0;58;13;248;237
90.0;66;13;267;268
88.0;42;12;320;322
69.0;91;14;290;269
83.0;58;29;429;404
92.0;64;13;316;297
71.0;61;12;221;203
79.0;40;16;561;558
88.0;66;11;319;308
92.0;57;3;308;309
85.0;47;23;396;392
100.0;46;11;674;615
69.0;63;12;273;260
100.0;56;3;123;128
90.0;51;9;273;289
84.0;49;13;253;231
97.0;76;11;298;343
98.0;42;11;268;298
84.0;60;35;410;374
90.0;63;25;412;378
98.0;62;21;758;711
83.0;72;18;422;397
88.0;56;15;356;335
89.0;49;12;389;410
89.0;63;20;265;184
86.0;54;13;344;341
93.0;94;12;328;294
99.0;50;10;661;652
87.0;32;13;226;198
83.0;61;11;337;327
89.0;55;15;299;268
79.0;58;12;329;312
94.0;64;24;401;394
87.0;104;10;307;312
92.0;48;34;321;283
95.0;48;16;295;249
72.0;56;24;244;195
94.0;54;12;296;290
96.0;58;22;268;259
90.0;59;8;372;324
90.0;67;17;328;334
88.0;38;14;318;317
90.0;61;10;294;263
87.0;122;25;308;243
88.0;65;14;441;434
96.0;38;13;155;154
97.0;63;10;396;362
91.0;57;12;332;356
81.0;53;12;297;253
79.0;41;14;294;290
94.0;122;12;222;220
83.0;57;13;314;262
81.0;48;36;346;269
79.0;63;29;391;344
84.0;51;7;592;592
69.0;64;12;191;136
87.0;55;12;284;259
90.0;33;12;261;236
91.0;56;14;341;374
81.0;24;9;263;275
92.0;63;12;233;193
97.0;49;25;357;275
87.0;41;13;304;268
92.0;84;25;312;314
76.0;50;12;241;284
74.0;29;12;193;179
96.0;47;11;294;244
94.0;25;12;275;281
89.0;60;12;388;312
80.0;61;11;223;193
73.0;103;14;372;293
93.0;108;12;352;311
89.0;54;24;451;377
95.0;54;13;209;171
86.0;55;14;444;381
77.0;62;14;330;298
83.0;52;12;367;302
85.0;39;12;273;327
63.0;46;11;314;287
92.0;56;14;391;335
84.0;60;16;220;197
91.0;43;12;365;378
93.0;44;14;208;168
91.0;51;10;294;225
92.0;130;12;436;416
86.0;56;10;224;208
68.0;63;13;303;305
80.0;97;23;340;355
75.0;105;12;332;297
87.0;55;10;332;315
75.0;63;11;379;363
55.0;34;2;322;313
88.0;46;12;255;218
81.0;36;15;186;166
69.0;90;11;379;336
93.0;33;7;242;215
93.0;61;11;208;251
96.0;38;11;149;132
96.0;53;21;148;124
78.0;60;12;333;312
81.0;57;14;186;197
82.0;59;13;339;346
89.0;97;21;199;180
81.0;46;12;252;226
73.0;60;12;398;383
77.0;81;19;342;339
71.0;45;25;232;201
83.0;79;12;316;247
87.0;108;12;374;388
64.0;61;10;236;235
81.0;50;23;364;345
88.0;62;11;344;364
95.0;59;18;177;181
83.0;43;14;220;228
78.0;59;14;233;158
89.0;44;13;322;341
95.0;51;14;407;362
78.0;64;13;217;200
87.0;66;16;330;369
73.0;62;12;422;376
92.0;51;10;396;356
82.0;59;13;380;338
94.0;32;12;286;283
91.0;31;13;203;185
74.0;63;12;360;406
86.0;61;13;230;212
92.0;51;13;375;358
98.0;59;12;326;330
93.0;63;13;309;261
82.0;53;13;316;263
92.0;53;12;325;351
89.0;62;16;367;336
93.0;64;19;238;220
90.0;91;13;567;473
92.0;74;12;321;336
79.0;63;22;280;267
93.0;38;13;234;196
77.0;117;27;556;497
90.0;35;15;316;259
92.0;28;15;166;172
74.0;60;13;392;367
92.0;52;7;253;265
98.0;60;12;378;391
76.0;60;12;318;297
87.0;60;12;448;400
68.0;46;8;257;237
86.0;64;13;562;452
91.0;56;11;261;233
92.0;65;12;206;155
64.0;80;13;679;696
87.0;60;15;354;354
92.0;34;14;272;260
90.0;51;11;427;347
85.0;62;12;405;422
79.0;57;28;188;179
85.0;52;13;364;295
81.0;51;36;352;286
97.0;64;13;318;305
83.0;51;16;222;189
92.0;41;14;362;308
82.0;43;20;256;221
76.0;61;14;335;292
94.0;59;24;256;279
81.0;65;14;332;308
100.0;60;12;212;166
77.0;122;25;308;243
89.0;55;16;278;273
78.0;77;12;227;209
78.0;26;12;268;256
89.0;68;26;226;174
91.0;34;12;271;264
99.0;41;33;516;439
91.0;63;12;375;301
84.0;48;13;274;222
87.0;55;11;354;320
92.0;44;27;268;221
91.0;57;18;272;293
87.0;81;13;314;304
94.0;46;11;233;240
88.0;47;12;410;392
84.0;48;13;280;224
79.0;97;12;259;207
97.0;67;11;192;185
78.0;120;27;413;325
94.0;60;14;355;366
92.0;61;26;366;314
95.0;60;10;345;314
77.0;109;27;563;514
89.0;60;15;411;372
81.0;61;12;295;286
82.0;47;14;252;246
88.0;57;12;286;304
95.0;56;20;235;190
85.0;36;15;186;166
93.0;59;12;390;349
97.0;69;7;315;314
96.0;59;7;317;295
81.0;65;23;389;346
87.0;59;12;223;228
86.0;31;11;254;234
80.0;101;24;320;297
83.0;68;12;391;425
96.0;54;10;217;202
91.0;81;11;377;317
89.0;42;12;367;348
74.0;36;12;118;132
70.0;65;29;240;271
85.0;60;12;402;389
88.0;40;14;284;275
99.0;59;12;405;396
95.0;55;12;329;306
87.0;34;12;272;237
90.0;56;13;211;179
99.0;53;16;199;159
77.0;27;17;326;315
94.0;51;13;439;486
94.0;34;14;307;287
94.0;56;10;436;416
82.0;27;12;209;201
98.0;44;14;440;454
81.0;46;14;332;366
84.0;71;12;238;239
88.0;120;13;402;370
89.0;32;6;238;224
100.0;37;11;369;360
70.0;57;12;280;249
87.0;23;11;157;128
99.0;46;12;339;299
72.0;11;13;271;294
88.0;58;12;397;363
83.0;36;13;207;221
86.0;62;12;199;220
80.0;56;13;231;237
82.0;59;12;388;362
92.0;50;12;222;249
81.0;62;12;323;379
89.0;50;16;214;198
87.0;38;9;134;162
82.0;59;12;328;253
84.0;85;7;335;340
90.0;50;13;369;350
84.0;89;15;372;379
81.0;54;12;289;246
80.0;47;11;334;373
95.0;52;13;235;215
90.0;38;12;186;185
90.0;63;13;353;358
83.0;59;11;307;279
89.0;76;7;266;239
94.0;64;13;287;270
93.0;55;12;322;311
87.0;119;19;327;325
72.0;85;14;322;293
81.0;66;13;235;232
87.0;46;6;326;324
84.0;63;12;233;193
71.0;46;11;298;251
99.0;38;13;170;132
90.0;108;12;352;311
91.0;54;11;319;322
86.0;56;12;253;221
80.0;28;13;181;144
90.0;44;11;283;289
90.0;63;14;301;296
87.0;54;24;271;253
86.0;124;14;333;294
80.0;28;13;167;132
96.0;63;13;351;337
62.0;60;26;235;222
88.0;49;13;292;260
81.0;69;15;332;314
78.0;64;24;439;425
97.0;44;12;312;258
96.0;54;15;270;199
86.0;65;26;440;470
78.0;47;10;268;259
93.0;43;11;378;335
89.0;22;4;212;218
78.0;62;12;331;276
76.0;57;11;209;184
97.0;81;11;303;308
94.0;60;14;410;382
79.0;54;14;233;206
87.0;50;13;236;193
87.0;62;13;363;354
85.0;41;14;413;456
78.0;72;13;365;304
90.0;35;13;219;183
85.0;63;12;306;315
99.0;23;12;458;424
89.0;63;12;270;273
94.0;31;11;294;249
85.0;48;26;282;281
84.0;90;15;374;339
93.0;54;16;401;334
94.0;28;10;236;206
81.0;48;13;205;187
88.0;49;13;216;185
93.0;37;12;183;181
93.0;75;14;389;383
90.0;33;11;200;155
79.0;62;14;377;393
96.0;60;13;247;221
96.0;43;14;350;352
70.0;63;14;410;390
92.0;68;26;226;174
86.0;54;12;239;218
99.0;86;12;312;298
85.0;54;12;281;237
93.0;47;20;356;318
85.0;38;12;164;193
84.0;45;11;305;294
79.0;90;11;498;424
81.0;99;13;334;303
81.0;51;14;219;265
92.0;55;14;444;381
75.0;64;11;329;317
93.0;92;12;378;380
96.0;38;10;283;212
91.0;17;16;298;289
86.0;63;13;346;314
86.0;91;13;567;473
74.0;57;14;286;319
89.0;59;12;337;321
88.0;52;9;205;191
73.0;59;12;206;187
98.0;38;10;283;212
85.0;21;15;170;170
92.0;62;19;255;265
84.0;48;10;377;361
79.0;69;10;286;261
81.0;51;14;241;227
94.0;64;13;302;298
88.0;59;12;259;251
65.0;64;14;320;283
91.0;43;12;298;284
84.0;55;11;319;276
83.0;109;9;287;254
93.0;121;13;356;386
71.0;59;26;180;227
82.0;49;12;183;158
86.0;47;14;252;246
91.0;60;12;248;212
92.0;62;12;405;422
93.0;15;12;247;230
93.0;60;12;228;251
93.0;61;10;294;263
78.0;54;12;277;251
87.0;54;9;327;300
92.0;74;14;376;309
90.0;55;12;178;195
80.0;75;14;282;296
91.0;115;11;282;280
87.0;63;12;229;241
91.0;57;12;168;162
84.0;54;14;250;210
99.0;40;13;168;125
81.0;54;14;245;233
82.0;60;13;346;296
92.0;52;12;226;178
92.0;57;13;470;501
82.0;100;25;386;330
86.0;60;12;318;297
98.0;24;11;262;271
83.0;98;25;349;382
91.0;63;12;345;328
97.0;29;12;233;196
82.0;63;12;593;431
75.0;107;15;404;378
91.0;62;10;382;360
92.0;43;13;207;187
89.0;47;13;393;342
98.0;32;11;301;295
87.0;45;12;334;308
87.0;60;13;345;349
86.0;65;13;238;209
92.0;63;11;409;394
91.0;42;14;306;260
75.0;51;14;213;204
99.0;40;13;220;174
82.0;50;11;249;304
86.0;56;20;335;283
89.0;50;10;228;202
93.0;12;12;142;145
75.0;41;17;287;258
92.0;65;9;225;194
81.0;60;14;328;294
78.0;79;13;255;229
93.0;101;19;405;401
83.0;40;12;331;310
81.0;55;19;396;366
85.0;120;15;413;402
70.0;59;11;194;224
87.0;108;12;359;320
93.0;49;21;371;317
82.0;63;13;193;192
84.0;19;22;401;367
83.0;64;15;604;439
97.0;62;10;285;273
90.0;62;12;306;303
73.0;66;27;246;262
100.0;61;12;533;532
77.0;28;11;289;316
81.0;60;7;193;148
80.0;51;14;274;292
92.0;64;12;383;339
80.0;56;13;372;357
89.0;47;12;395;339
86.0;54;13;353;351
68.0;30;13;285;241
87.0;17;16;298;289
91.0;64;16;314;332
86.0;60;15;511;468
94.0;52;11;392;378
86.0;48;26;210;203
95.0;105;12;445;341
89.0;62;11;249;233
79.0;68;7;399;417
79.0;83;16;428;390
90.0;62;13;383;349
94.0;48;13;364;362
100.0;48;12;323;284
88.0;106;13;373;316
89.0;66;13;267;268
91.0;60;9;331;292
77.0;121;10;420;405
98.0;46;8;336;298
92.0;43;14;220;228
87.0;95;18;353;285
81.0;67;25;331;372
90.0;52;16;438;434
93.0;35;13;206;177
77.0;72;13;398;349
84.0;62;10;441;429
98.0;38;13;170;132
91.0;48;5;295;286
94.0;55;15;391;438
71.0;64;10;332;363
92.0;23;8;176;192
91.0;57;12;266;245
89.0;50;11;282;236
100.0;56;6;270;235
86.0;58;16;499;462
88.0;55;3;275;251
82.0;14;13;400;375
84.0;60;12;284;260
88.0;56;5;216;226
90.0;63;10;414;397
83.0;52;12;231;213
84.0;54;14;291;302
87.0;48;10;331;322
87.0;53;13;320;309
73.0;68;25;213;181
78.0;48;17;164;141
95.0;50;20;427;345
92.0;54;27;274;243
88.0;67;12;304;303
84.0;51;16;222;189
94.0;58;13;391;372
82.0;77;15;394;429
85.0;63;13;356;346
88.0;40;12;185;213
91.0;60;9;141;147
89.0;51;13;197;228
92.0;55;14;269;261
86.0;57;11;229;197
90.0;74;11;356;331
100.0;35;10;206;158
75.0;57;13;270;264
88.0;60;13;410;403
93.0;41;26;315;339
87.0;75;14;389;383
92.0;64;11;486;415
79.0;49;11;221;226
64.0;61;9;719;697
92.0;51;34;316;266
87.0;59;12;401;407
81.0;55;13;250;234
91.0;65;11;178;174
93.0;58;13;567;535
75.0;62;11;330;321
72.0;85;14;821;813
79.0;51;25;244;280
91.0;64;12;380;340
88.0;72;12;251;234
100.0;63;12;327;288
91.0;78;10;231;209
92.0;45;9;228;226
90.0;99;11;297;286
94.0;97;13;450;430
93.0;60;15;410;385
90.0;60;7;194;171
87.0;35;11;228;215
88.0;52;9;315;274
81.0;61;13;416;414
77.0;62;13;284;248
